Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,city,state,population
Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",2016-07-01,1659166,2016,Everett,Washington,111337.0
Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York City, New York",2013-07-01,1754301,2019,New York,New York,8335897.0
Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York City, New York",2015-09-18,1754301,2019,New York,New York,8335897.0
Franklin Templeton,Financials,Asset Management & Custody Banks,"San Mateo, California",1998-04-30,38777,1947,San Mateo,California,100984.0
Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",,831259,1912,Phoenix,Arizona,1644409.0
Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,749251,1979,Stamford,Connecticut,136188.0
GE HealthCare,Health Care,Health Care Technology,"Chicago, Illinois",2023-01-04,1932393,1994,Chicago,Illinois,2665039.0
Gen Digital,Information Technology,Application Software,"Tempe, Arizona",2003-03-25,849399,1982,Tempe,Arizona,185950.0
Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",2021-03-22,1474735,1959,Waukesha,Wisconsin,70454.0
Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",2021-03-22,1474735,1959,Waukesha,Wisconsin,8485.0
General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",1957-03-04,40533,1899,Falls Church,Virginia,14586.0
General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",1957-03-04,40545,1892,Boston,Massachusetts,650706.0
General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1957-03-04,40704,1856,Golden Valley,Minnesota,21545.0
General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,1467858,1908,Detroit,Michigan,620376.0
Genuine Parts Company,Consumer Discretionary,Automotive Parts & Equipment,"Atlanta, Georgia",1973-12-31,40987,1925,Atlanta,Georgia,499127.0
Gilead Sciences,Health Care,Biotechnology,"Foster City, California",2004-07-01,882095,1987,Foster,California,32026.0
Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",1989-04-30,320335,1900,McKinney,Texas,207507.0
Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2016-04-25,1123360,2000,Atlanta,Georgia,499127.0
Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",2002-07-22,886982,1869,New York,New York,8335897.0
Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,45012,1919,Houston,Texas,2302878.0
Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",1957-03-04,874766,1810,Hartford,Connecticut,120686.0
Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1984-09-30,46080,1923,Pawtucket,Rhode Island,75066.0
HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",2015-01-27,860730,1968,Nashville,Tennessee,683622.0
Healthpeak,Real Estate,Health Care REITs,"Long Beach, California",2008-03-31,765880,1985,Long Beach,California,451307.0
